Name,Country,Discipline,Event
LANG Ping,People's Republic of China,Volleyball,Women
LAVARINI Stefano,Republic of Korea,Volleyball,Women
LAZARO CORRAL Jesus,Spain,Basketball,
LETELIER Jose,Chile,Football,Women
LOCK Adrian Mayner,Spain,Hockey,Women
LOFTUS Adriana,Mexico,Artistic Swimming,Duet
LOPES BARBOSA Leonard,Kenya,Volleyball,
LOPEZ GUILLEN Melvyn,Dominican Republic,Basketball,
LOPEZ Monica Susana,Argentina,Artistic Swimming,
LOUCKS Luke,Nigeria,Basketball,
LOZANO Jaime,Mexico,Football,Men
MACEK Anze,Slovenia,Basketball,
MACKINTOSH Euan Michael Gordon,People's Republic of China,Rugby Sevens,Women
MAEDA Kenzo,Japan,Basketball,
MAHLANGU Sibusiso,South Africa,Football,
MAKIRI Hare,Japan,Rugby Sevens,Women
MALJKOVIC Marina,Serbia,Basketball,Women
MANENTI John,Australia,Rugby Sevens,Women
MANZANILLO Andres,Venezuela,Volleyball,
MARCZ Tamas,Hungary,Water Polo,Men
MARIJNE Sjoerd,India,Hockey,Women
MARINELLI Fernando,Chile,Football,
MARTIN LOZANO David,Spain,Water Polo,Men
MARTIN Paul,South Africa,Water Polo,Men
MASHA Mario,South Africa,Football,
MATSUNO Yoshiyuki,Japan,Basketball,
MATSUODANI Yasushi,Japan,Football,
MAYBURY Elena,United States of America,Football,
MAYONNADE Emmanuel,Netherlands,Handball,Women
MAZZANTI Davide,Italy,Volleyball,Women
McCRORIE Christy,South Africa,Hockey,
McLEOD Shane,Belgium,Hockey,Men
MEDINA Bobby,Nigeria,Basketball,
MENDEZ Marcelo Rodolfo,Argentina,Volleyball,Men
MENGUAL CIVIL Gemma,Spain,Artistic Swimming,
MENTOOR Delaine,South Africa,Water Polo,Women
MERCEDES del ROSARIO Jose,Dominican Republic,Basketball,
MESTDAGH Philip,Belgium,Basketball,Women
MEZHENINA Valeriia,Ukraine,Artistic Swimming,Team
MEZIANE Rachid,France,Basketball,
MIHAILOVIC Predrag,Australia,Water Polo,Women
MIREJOVSKY Michal,Czech Republic,Basketball,
MIRET GARCIA Daniel,Spain,Basketball,
MIURA Keiko,Japan,Hockey,Women
MIYAKAWA Miya,Japan,Artistic Swimming,
MLADENOVA Albena,Austria,Artistic Swimming,Duet
MOHAMED Mai,Egypt,Artistic Swimming,
MOHAMED Sayeda,Saudi Arabia,Football,
MOHAMMED Silifat,Nigeria,Basketball,
MONDELO GARCIA Lucas,Spain,Basketball,Women
MONTICO Loredana,Australia,Artistic Swimming,Duet
MONTICO Loredana,Australia,Artistic Swimming,Team
MORIYASU Hajime,Japan,Football,Men
MOTOMIYA Makihiro,Japan,Water Polo,Women
MULATI Adilijiang,People's Republic of China,Basketball,
MUNOZ Noe de Jesus,Mexico,Baseball/Softball,Baseball
MWAPE Bruce,Zambia,Football,Women
NAGAE Shoji,Japan,Volleyball,
NAIDOO Taren,South Africa,Hockey,Women
NAKADA Kumi,Japan,Volleyball,Women
NAKAGAICHI Yuichi,Japan,Volleyball,Men
NCUBE Mthandazo,South Africa,Football,
NEVES Christophe,Côte d'Ivoire,Football,
NISHIDA Takumi,Japan,Rugby Sevens,
NOTOANE David,South Africa,Football,Men
OCA GAIA Miguel Angel,Spain,Water Polo,Women
ODAUDU Ogoh,Nigeria,Basketball,
OLOO Felix,Kenya,Rugby Sevens,Women
OMOTO Yoji,Japan,Water Polo,Men
PAGAN CRISTOBAL Angel,Puerto Rico,Basketball,
PALERMI Giovanna,Italy,Baseball/Softball,Softball
PANTOJA Hernan,Venezuela,Volleyball,
PARADELO David,Canada,Water Polo,Women
PARRONDO Roberto,Egypt,Handball,Men
PAUL Henry,Canada,Rugby Sevens,Men
PECCI Isabella,San Marino,Artistic Swimming,
PEDRERO Ofelia,Mexico,Artistic Swimming,Duet
PEREIRA Paulo Jorge,Portugal,Handball,Men
PEREZ Jose,Venezuela,Basketball,
PIBIRI Rossella,Italy,Artistic Swimming,
PISKAREVA Ekaterina,ROC,Artistic Swimming,
PIZZOLINI Federico,Italy,Baseball/Softball,Softball
POPOVICH Gregg,United States of America,Basketball,Men
POROBIC Petar,People's Republic of China,Water Polo,Women
POTTER Anthony,Australia,Hockey,Men
POWELL Katrina,Australia,Hockey,Women
POWELL Neil,South Africa,Rugby Sevens,Men
PRADO BRANAS Joaquin,Spain,Basketball,
PRIESTMAN Bev,Canada,Football,Women
RADOI Mirel,Romania,Football,Men
RECKINGER Xavier,Germany,Hockey,Women
REID Graham John,India,Hockey,Men
REQUENA PERICAS Judit,Spain,Artistic Swimming,Duet
REQUENA PERICAS Judit,Spain,Artistic Swimming,Team
RETEGUI Carlos Jose,Argentina,Hockey,Men
RETEGUI Carlos Jose,Argentina,Hockey,Women
RIBERA ROMANS Jordi,Spain,Handball,Men
RIISE Hege,Great Britain,Football,Women
RILLIE John,Australia,Basketball,
RIPOLL Sylvain,France,Football,Men
RODRIGUEZ Eduardo Rafael,Argentina,Volleyball,
ROEDL Henrik,Germany,Basketball,Men
ROQUES Anthony,Great Britain,Rugby Sevens,Men
SACCHETTI Romeo,Italy,Basketball,Men
SALAM Mohamed,Egypt,Football,
SAMMELVUO Tuomas,ROC,Volleyball,Men
SARTI Ronald,Venezuela,Volleyball,Men
SAVIC Dejan,Serbia,Water Polo,Men
SAVIC Maja,Montenegro,Handball,Women
SCARIOLO Sergio,Spain,Basketball,Men
SCHILLING April,Nigeria,Basketball,
SEKULIC Aleksander,Slovenia,Basketball,Men
SEO Chun Oh,Republic of Korea,Rugby Sevens,Men
SERMANNI Tom,New Zealand,Football,Women
SHAHINTAB Mehran,Islamic Republic of Iran,Basketball,Men
SHAHNAZI Shahbaz,Austria,Artistic Swimming,
SHAW Graham,New Zealand,Hockey,Women
SHAWKY Gharib,Egypt,Football,Men
SIAM Zaghloul,Egypt,Football,
SIGURDSSON Dagur,Japan,Handball,Men
SIMIYU Innocent,Kenya,Rugby Sevens,Men
SINGH Shivendra,India,Hockey,Men
SMITH Darren,New Zealand,Hockey,Men
SMITH Mark,Canada,Baseball/Softball,Softball
SOLBERG Glenn,Sweden,Handball,Men
SOYEZ Frederic,Spain,Hockey,Men
SPERAW John,United States of America,Volleyball,Men
SPERONI Stefania,Great Britain,Artistic Swimming,Duet
STALEY Dawn,United States of America,Basketball,Women
STANIFORTH Dave,Australia,Hockey,
STAS Jacques,Belgium,Basketball,
SUNDHAGE Pia Mariane,Brazil,Football,Women
SVETLICHNAYA Aliona,Belarus,Artistic Swimming,Duet
SZAUDER Gabor,Canada,Artistic Swimming,Duet
SZAUDER Gabor,Canada,Artistic Swimming,Team
SZAUDER Nora,Slovakia,Artistic Swimming,
TAGLE German,Chile,Football,
TAKAKURA Asako,Japan,Football,Women
TAKITA Risako,Japan,Artistic Swimming,
TARR Heather,United States of America,Baseball/Softball,Softball
TARRES CAMPA Ana,Greece,Artistic Swimming,Duet
TARRES CAMPA Ana,Greece,Artistic Swimming,Team
TERZIC Zoran,Serbia,Volleyball,Women
THOMAIDIS Lisa,Canada,Basketball,Women
TILLIE Laurent,France,Volleyball,Men
TOMOMATSU Yumiko,Italy,Artistic Swimming,
TUCAK Ivica,Croatia,Water Polo,Men
TURNER Glenn,New Zealand,Hockey,Men
UDOKA Ime,United States of America,Basketball,
UDOVICIC Dejan,United States of America,Water Polo,Men
UTKIN Volodymyr,Ukraine,Artistic Swimming,
UTSUGI Reika,Japan,Baseball/Softball,Softball
van GINKEL Robin,South Africa,Hockey,Women
van GUNDY Jeff,United States of America,Basketball,
VASQUEZ Diego,Venezuela,Basketball,
VEGA HERRERO Anna,Spain,Artistic Swimming,
VILLEGAS Orlando,Venezuela,Volleyball,
VITORINO de SOUZA Marcelo,Kenya,Volleyball,
VIVER ARZA Carlos Enrique,Spain,Handball,Women
VLACHOS Theodoros,Greece,Water Polo,Men
VORONOVA Elena,ROC,Artistic Swimming,Duet
WALL Michael,United States of America,Volleyball,
WALSH Tim,Australia,Rugby Sevens,Men
WANG Jie,People's Republic of China,Artistic Swimming,Duet
WANG Jie,People's Republic of China,Artistic Swimming,Team
WANG Yang,People's Republic of China,Hockey,Women
WEINSTEIN Jerry,United States of America,Baseball/Softball,Baseball
WIEGMAN Sarina,Netherlands,Football,Women
WIRTH Oscar,Chile,Football,
WOELFLIN Roberto Osvaldo,Argentina,Volleyball,
WOICKI Pawel,Poland,Volleyball,
WRIGHT Jerold,United States of America,Basketball,
XU Limin,People's Republic of China,Basketball,Women
YAMAJI Noriko,Japan,Baseball/Softball,Softball
YUAN Lingxi,People's Republic of China,Volleyball,
YURKIN Sergey,ROC,Volleyball,
ZAITSEVA Olesia,Ukraine,Artistic Swimming,Duet
ZAMORA PEDREIRA Javier,Spain,Basketball,
ZAMPIERI Francesca,Liechtenstein,Artistic Swimming,Duet
ZHANG Xiaohuan,People's Republic of China,Artistic Swimming,
ZIJP Simon,Netherlands,Hockey,
ZONDI Nkuliso,South Africa,Hockey,Women
